Vampires: 64, Zombies: 52, Witches: 34, Houses: 29
Vampires: 13, Zombies: 99, Witches: 91, Houses: 44
Vampires: 43, Zombies: 24, Witches: 44, Houses: 57
Vampires: 21, Zombies: 68, Witches: 42, Houses: 73
Vampires: 7, Zombies: 94, Witches: 48, Houses: 98
Vampires: 48, Zombies: 4, Witches: 96, Houses: 64
Vampires: 9, Zombies: 80, Witches: 82, Houses: 34
Vampires: 4, Zombies: 11, Witches: 38, Houses: 32
Vampires: 44, Zombies: 35, Witches: 69, Houses: 64
Vampires: 39, Zombies: 35, Witches: 74, Houses: 77
Vampires: 76, Zombies: 53, Witches: 94, Houses: 12
Vampires: 12, Zombies: 41, Witches: 21, Houses: 13
Vampires: 66, Zombies: 29, Witches: 19, Houses: 27
Vampires: 84, Zombies: 69, Witches: 95, Houses: 0
Vampires: 61, Zombies: 86, Witches: 11, Houses: 18
Vampires: 84, Zombies: 63, Witches: 88, Houses: 20
Vampires: 40, Zombies: 17, Witches: 43, Houses: 85
Vampires: 52, Zombies: 14, Witches: 39, Houses: 33
Vampires: 67, Zombies: 9, Witches: 20, Houses: 43
Vampires: 34, Zombies: 25, Witches: 20, Houses: 53
Vampires: 17, Zombies: 93, Witches: 88, Houses: 39
Vampires: 83, Zombies: 86, Witches: 10, Houses: 4
Vampires: 84, Zombies: 59, Witches: 46, Houses: 78
Vampires: 12, Zombies: 6, Witches: 39, Houses: 68
Vampires: 97, Zombies: 89, Witches: 65, Houses: 42
Vampires: 81, Zombies: 74, Witches: 67, Houses: 17
Vampires: 24, Zombies: 10, Witches: 6, Houses: 52
Vampires: 53, Zombies: 17, Witches: 100, Houses: 65
Vampires: 22, Zombies: 58, Witches: 97, Houses: 39
Vampires: 54, Zombies: 93, Witches: 67, Houses: 36
Vampires: 79, Zombies: 62, Witches: 5, Houses: 15
Vampires: 29, Zombies: 59, Witches: 59, Houses: 30
Vampires: 9, Zombies: 16, Witches: 86, Houses: 7
Vampires: 82, Zombies: 71, Witches: 15, Houses: 70
Vampires: 31, Zombies: 99, Witches: 32, Houses: 68
Vampires: 18, Zombies: 88, Witches: 25, Houses: 66
Vampires: 75, Zombies: 96, Witches: 93, Houses: 50
Vampires: 5, Zombies: 58, Witches: 65, Houses: 25
Vampires: 47, Zombies: 50, Witches: 64, Houses: 98
Vampires: 30, Zombies: 73, Witches: 59, Houses: 49
